# === FRUITS (果物) - Per 100g ===
Apple,100g,59,0.3,0.2,14,,
りんご,100g,59,0.3,0.2,14,,
リンゴ,100g,59,0.3,0.2,14,,
Fuji,100g,59,0.3,0.2,14,,
Jonagold,100g,59,0.3,0.2,14,,
Banana,100g,99,1.1,0.3,23,,
バナナ,100g,99,1.1,0.3,23,,
ばなな,100g,99,1.1,0.3,23,,
Cavendish,100g,99,1.1,0.3,23,,
Orange,100g,52,0.9,0.1,12,,
みかん,100g,52,0.9,0.1,12,,
ミカン,100g,52,0.9,0.1,12,,
Satsuma,100g,52,0.9,0.1,12,,
Tangerine,100g,52,0.9,0.1,12,,
Persimmon,100g,76,0.6,0.2,18,,
柿,100g,76,0.6,0.2,18,,
かき,100g,76,0.6,0.2,18,,
カキ,100g,76,0.6,0.2,18,,
Fuyu,100g,76,0.6,0.2,18,,
Hachiya,100g,76,0.6,0.2,18,,
Grapes,100g,72,0.6,0.2,17,,
ぶどう,100g,72,0.6,0.2,17,,
ブドウ,100g,72,0.6,0.2,17,,
Kyoho,100g,72,0.6,0.2,17,,
Shine Muscat,100g,72,0.6,0.2,17,,
Peach,100g,43,0.5,0.1,10,,
桃,100g,43,0.5,0.1,10,,
もも,100g,43,0.5,0.1,10,,
モモ,100g,43,0.5,0.1,10,,
White Peach,100g,43,0.5,0.1,10,,
Fuyu momo,100g,43,0.5,0.1,10,,
Strawberry,100g,36,0.8,0.1,8,,
苺,100g,36,0.8,0.1,8,,
いちご,100g,36,0.8,0.1,8,,
イチゴ,100g,36,0.8,0.1,8,,
Amaou,100g,36,0.8,0.1,8,,
Tochiotome,100g,36,0.8,0.1,8,,
Watermelon,100g,36,0.6,0.2,8,,
西瓜,100g,36,0.6,0.2,8,,
すいか,100g,36,0.6,0.2,8,,
スイカ,100g,36,0.6,0.2,8,,
Seedless watermelon,100g,36,0.6,0.2,8,,
Kiwi,100g,69,1.1,0.5,15,,
キウイ,100g,69,1.1,0.5,15,,
きうい,100g,69,1.1,0.5,15,,
Hayward,100g,69,1.1,0.5,15,,
Pineapple,100g,55,0.5,0.1,13,,
パイナップル,100g,55,0.5,0.1,13,,
ぱいなっぷる,100g,55,0.5,0.1,13,,
Smooth Cayenne,100g,55,0.5,0.1,13,,
Lemon,100g,43,1.1,0.3,9,,
レモン,100g,43,1.1,0.3,9,,
れもん,100g,43,1.1,0.3,9,,
Citrus limon,100g,43,1.1,0.3,9,,
Mandarin Orange,100g,53,0.8,0.2,12,,
橘,100g,53,0.8,0.2,12,,
たちばな,100g,53,0.8,0.2,12,,
タチバナ,100g,53,0.8,0.2,12,,
Unshiu,100g,53,0.8,0.2,12,,
Cherry,100g,54,1,0.2,12,,
桜んぼ,100g,54,1,0.2,12,,
さくらんぼ,100g,54,1,0.2,12,,
サクランボ,100g,54,1,0.2,12,,
Satonishiki,100g,54,1,0.2,12,,
Bing,100g,54,1,0.2,12,,
Melon,100g,37,0.8,0.2,8,,
メロン,100g,37,0.8,0.2,8,,
めろん,100g,37,0.8,0.2,8,,
Muskmelon,100g,37,0.8,0.2,8,,
Yubari,100g,37,0.8,0.2,8,,
Grapefruit,100g,39,0.6,0.1,9,,
グレープフルーツ,100g,39,0.6,0.1,9,,
ぐれーぷふるーつ,100g,39,0.6,0.1,9,,
Ruby,100g,39,0.6,0.1,9,,
White,100g,39,0.6,0.1,9,,
Loquat,100g,51,0.4,0.2,12,,
枇杷,100g,51,0.4,0.2,12,,
びわ,100g,51,0.4,0.2,12,,
ビワ,100g,51,0.4,0.2,12,,
Yuzu,100g,41,0.8,0.2,9,,
柚子,100g,41,0.8,0.2,9,,
ゆず,100g,41,0.8,0.2,9,,
ユズ,100g,41,0.8,0.2,9,,
Nashi Pear,100g,54,0.4,0.1,13,,
梨,100g,54,0.4,0.1,13,,
なし,100g,54,0.4,0.1,13,,
ナシ,100g,54,0.4,0.1,13,,
Asian Pear,100g,54,0.4,0.1,13,,
Plum,100g,48,0.7,0.1,11,,
梅,100g,48,0.7,0.1,11,,
うめ,100g,48,0.7,0.1,11,,
ウメ,100g,48,0.7,0.1,11,,
Prunus mume,100g,48,0.7,0.1,11,,
Apricot,100g,51,0.5,0.1,12,,
あんず,100g,51,0.5,0.1,12,,
アンズ,100g,51,0.5,0.1,12,,
Fig,100g,82,0.8,0.3,19,,
いちじく,100g,82,0.8,0.3,19,,
イチジク,100g,82,0.8,0.3,19,,
Blueberry,100g,62,0.7,0.3,14,,
ブルーベリー,100g,62,0.7,0.3,14,,
ぶるーべりー,100g,62,0.7,0.3,14,,
Raspberry,100g,58,1.2,0.6,12,,
ラズベリー,100g,58,1.2,0.6,12,,
らずべりー,100g,58,1.2,0.6,12,,
Blackberry,100g,50,1.3,0.5,10,,
ブラックベリー,100g,50,1.3,0.5,10,,
ぶらっくべりー,100g,50,1.3,0.5,10,,
Mango,100g,67,0.8,0.4,15,,
マンゴー,100g,67,0.8,0.4,15,,
まんごー,100g,67,0.8,0.4,15,,
Alphonso,100g,67,0.8,0.4,15,,
Haden,100g,67,0.8,0.4,15,,
Papaya,100g,47,0.5,0.1,11,,
パパイヤ,100g,47,0.5,0.1,11,,
ぱぱいや,100g,47,0.5,0.1,11,,
Cantaloupe,100g,37,0.8,0.2,8,,
カンタロープ,100g,37,0.8,0.2,8,,
かんたろーぷ,100g,37,0.8,0.2,8,,
Honeydew,100g,41,0.7,0.2,9,,
ハニーデュー,100g,41,0.7,0.2,9,,
はにーでゅー,100g,41,0.7,0.2,9,,
Persian Melon,100g,37,0.7,0.2,8,,
ペルシアンメロン,100g,37,0.7,0.2,8,,
ぺるしあんめろん,100g,37,0.7,0.2,8,,
Pomegranate,100g,82,1,0.2,19,,
ザクロ,100g,82,1,0.2,19,,
ざくろ,100g,82,1,0.2,19,,
Clementine,100g,52,0.8,0.1,12,,
クレメンタイン,100g,52,0.8,0.1,12,,
くれめんたいん,100g,52,0.8,0.1,12,,
Coconut,100g,370,3.3,33,15,,
ココナッツ,100g,370,3.3,33,15,,
ここなっつ,100g,370,3.3,33,15,,
Dried,100g,370,3.3,33,15,,
Raw,100g,370,3.3,33,15,,
Lychee,100g,75,0.8,0.4,17,,
ライチ,100g,75,0.8,0.4,17,,
らいち,100g,75,0.8,0.4,17,,
Mandarinquat,100g,48,0.9,0.1,11,,
マンダリンカット,100g,48,0.9,0.1,11,,
まんだりんかっと,100g,48,0.9,0.1,11,,
Passion Fruit,100g,100,1,0.4,23,,
パッションフルーツ,100g,100,1,0.4,23,,
ぱっしょんふるーつ,100g,100,1,0.4,23,,
Dragon Fruit,100g,51,1,0.3,11,,
ドラゴンフルーツ,100g,51,1,0.3,11,,
どらごんふるーつ,100g,51,1,0.3,11,,
Starfruit,100g,30,0.3,0.1,7,,
スターフルーツ,100g,30,0.3,0.1,7,,
すたーふるーつ,100g,30,0.3,0.1,7,,
Grapes (Green),100g,72,0.6,0.2,17,,
Muscat,100g,72,0.6,0.2,17,,
Grapes (Red),100g,72,0.6,0.2,17,,
Fig (Dried),100g,270,3.6,0.4,63,,
Apple (Green),100g,59,0.3,0.2,14,,
Granny Smith,100g,59,0.3,0.2,14,,
Pear (Asian),100g,54,0.4,0.1,13,,
Nashi,100g,54,0.4,0.1,13,,
Cherry Tomato,100g,17,0.9,0.2,3,,
ミニトマト,100g,17,0.9,0.2,3,,
みにとまと,100g,17,0.9,0.2,3,,
Umeboshi,100g,27,0.5,0.1,6,,
梅干し,100g,27,0.5,0.1,6,,
うめぼし,100g,27,0.5,0.1,6,,
ウメボシ,100g,27,0.5,0.1,6,,
Raspberry (Frozen),100g,58,1.2,0.6,12,,
